13.0,8,360.0,175.0,3821,11.0,73,1,4477
15.0,8,390.0,190.0,3850,8.5,70,1,3114
17.0,8,304.0,150.0,3672,11.5,72,1,3902
18.1,6,258.0,120.0,3410,15.1,78,1,3849
20.2,6,232.0,90.0,3265,18.2,79,1,4324
19.4,6,232.0,90.0,3210,17.2,78,1,3849
21.0,6,199.0,90.0,2648,15.0,70,1,4104.8007380073805
19.0,6,232.0,100.0,2634,13.0,71,1,1999.0
18.0,6,232.0,100.0,2789,15.0,73,1,2098
20.0,6,232.0,100.0,2914,16.0,75,1,2798
18.0,6,258.0,110.0,2962,13.5,71,1,2334
18.0,6,199.0,97.0,2774,15.5,70,1,4104.8007380073805
18.0,6,232.0,100.0,2945,16.0,73,1,2449
19.0,6,232.0,100.0,2901,16.0,74,1,2849
22.5,6,232.0,90.0,3085,17.6,76,1,3199
15.0,8,304.0,150.0,3892,12.5,72,1,3239
14.0,8,304.0,150.0,4257,15.5,74,1,3477
18.0,6,232.0,100.0,3288,15.5,71,1,3100
14.0,8,304.0,150.0,3672,11.5,73,1,2986
16.0,6,258.0,110.0,3632,18.0,74,1,3699
15.0,6,258.0,110.0,3730,19.0,75,1,3545
15.5,8,304.0,120.0,3962,13.9,76,1,3725
17.5,6,258.0,95.0,3193,17.8,76,1,3499
19.0,6,232.0,90.0,3211,17.0,75,1,3299
16.0,8.0,332.0,162.5,3641.5,11.5,70.0,1.0,2766
27.4,4,121.0,80.0,2670,15.0,79,1,4133
24.0,4,107.0,90.0,2430,14.5,70,2,3595
24.0,4,107.0,90.0,2430,14.5,71,2,3595
20.0,4,114.0,91.0,2582,14.0,73,2,4275
23.0,4,115.0,95.0,2694,15.0,75,2,6002
20.3,5,131.0,103.0,2830,15.9,78,2,8780
29.0,4,98.0,83.0,2219,16.5,74,2,3975
26.0,4,121.0,113.0,2234,12.5,70,2,3275
26.0,4,121.0,113.0,2234,12.5,71,2,3275
21.5,4,121.0,110.0,2600,12.8,77,2,7990
13.0,8,350.0,175.0,4100,13.0,73,1,3057
13.0,8,350.0,150.0,4699,14.5,74,1,4371
20.6,6,231.0,105.0,3380,15.8,78,1,4633
17.0,6,231.0,110.0,3907,21.0,75,1,4022
12.0,8,455.0,225.0,4951,11.0,73,1,4993
14.0,8,455.0,225.0,3086,10.0,70,1,4226
16.9,8,350.0,155.0,4360,14.9,79,1,7169
13.0,8,350.0,155.0,4502,13.5,72,1,4291
30.0,4,111.0,80.0,2155,14.8,77,1,4104.8007380073805
17.7,6,231.0,165.0,3445,13.4,78,1,5958
21.0,6,231.0,110.0,3039,15.0,75,1,4173
15.0,8,350.0,165.0,3693,11.5,70,1,2847
28.4,4,151.0,90.0,2670,16.0,79,1,4462
20.5,6,231.0,105.0,3425,16.9,77,1,3865
23.0,8,350.0,125.0,3900,17.4,79,1,14668
16.5,8,350.0,180.0,4380,12.1,76,1,12479
25.0,4,140.0,92.0,2572,14.9,76,1,4104.8007380073805
16.0,6,250.0,105.0,3897,18.5,75,1,4104.8007380073805
15.0,8,350.0,145.0,4440,14.0,75,1,4345
13.0,8,400.0,150.0,4464,12.0,73,1,4345
17.5,8,305.0,145.0,3880,12.5,77,1,5307
17.0,8,305.0,130.0,3840,15.4,79,1,6508
13.0,8,350.0,165.0,4142,11.5,70,1,3210
13.0,8,307.0,130.0,4098,14.0,72,1,3244
16.0,6,250.0,100.0,3781,17.0,74,1,4104.8007380073805
17.5,8,305.0,140.0,4215,13.0,76,1,4455
18.0,8,307.0,130.0,3504,12.0,70,1,2881
17.0,6,250.0,100.0,3329,15.5,71,1,4104.8007380073805
29.0,4,85.0,52.0,2035,22.2,76,1,2558
30.5,4,98.0,63.0,2051,17.0,77,1,3225
30.0,4,98.0,68.0,2155,16.5,78,1,3644
28.8,6,173.0,115.0,2595,11.3,79,1,4104.8007380073805
17.5,6,250.0,110.0,3520,16.4,77,1,4111
14.0,8,454.0,220.0,4354,9.0,70,1,3132
14.0,8,350.0,165.0,4209,12.0,71,1,3813
13.0,8,350.0,165.0,4274,12.0,72,1,3979
11.0,8,400.0,150.0,4997,14.0,73,1,3836
19.2,8,267.0,125.0,3605,15.0,79,1,5480
13.0,8,350.0,145.0,3988,13.0,73,1,3010
20.5,6,200.0,95.0,3155,18.2,78,1,4394
15.5,8,350.0,170.0,4165,11.4,77,1,4968
19.2,8,305.0,145.0,3425,13.2,78,1,4935
15.0,8,350.0,145.0,4082,13.0,73,1,3562
15.0,8,400.0,150.0,3761,9.5,70,1,3123
